country,year,scenario,co2_projected
India,2029,Moderate Mitigation,3490.14
India,2029,Aggressive Mitigation,2987.65
India,2030,BAU,3974.68
India,2030,Moderate Mitigation,3520.94
India,2030,Aggressive Mitigation,2921.76
India,2031,BAU,4087.69
India,2031,Moderate Mitigation,3548.62
India,2031,Aggressive Mitigation,2854.58
India,2032,BAU,4200.12
India,2032,Moderate Mitigation,3573.31
India,2032,Aggressive Mitigation,2786.45
India,2033,BAU,4312.0
India,2033,Moderate Mitigation,3595.12
India,2033,Aggressive Mitigation,2717.64
India,2034,BAU,4423.32
India,2034,Moderate Mitigation,3614.17
India,2034,Aggressive Mitigation,2648.4
India,2035,BAU,4534.08
India,2035,Moderate Mitigation,3630.58
India,2035,Aggressive Mitigation,2578.99
India,2036,BAU,4644.29
India,2036,Moderate Mitigation,3644.45
India,2036,Aggressive Mitigation,2509.59
India,2037,BAU,4753.94
India,2037,Moderate Mitigation,3655.89
India,2037,Aggressive Mitigation,2440.4
India,2038,BAU,4863.05
India,2038,Moderate Mitigation,3665.0
India,2038,Aggressive Mitigation,2371.59
India,2039,BAU,4971.61
India,2039,Moderate Mitigation,3671.88
India,2039,Aggressive Mitigation,2303.31
India,2040,BAU,5079.63
India,2040,Moderate Mitigation,3676.63
India,2040,Aggressive Mitigation,2235.68
Japan,2025,BAU,1139.03
Japan,2025,Moderate Mitigation,1116.25
Japan,2025,Aggressive Mitigation,1082.08
Japan,2026,BAU,1139.06
Japan,2026,Moderate Mitigation,1093.96
Japan,2026,Aggressive Mitigation,1028.01
Japan,2027,BAU,1139.09
Japan,2027,Moderate Mitigation,1072.1
Japan,2027,Aggressive Mitigation,976.63
Japan,2028,BAU,1139.11
Japan,2028,Moderate Mitigation,1050.68
Japan,2028,Aggressive Mitigation,927.81
Japan,2029,BAU,1139.13
Japan,2029,Moderate Mitigation,1029.68
Japan,2029,Aggressive Mitigation,881.44
Japan,2030,BAU,1139.15
Japan,2030,Moderate Mitigation,1009.1
Japan,2030,Aggressive Mitigation,837.38
Japan,2031,BAU,1139.16
Japan,2031,Moderate Mitigation,988.93
Japan,2031,Aggressive Mitigation,795.52
Japan,2032,BAU,1139.17
Japan,2032,Moderate Mitigation,969.16
Japan,2032,Aggressive Mitigation,755.75
Japan,2033,BAU,1139.18
Japan,2033,Moderate Mitigation,949.79
Japan,2033,Aggressive Mitigation,717.97
Japan,2034,BAU,1139.19
Japan,2034,Moderate Mitigation,930.8
Japan,2034,Aggressive Mitigation,682.07
Japan,2035,BAU,1139.19
Japan,2035,Moderate Mitigation,912.19
Japan,2035,Aggressive Mitigation,647.97
Japan,2036,BAU,1139.2
Japan,2036,Moderate Mitigation,893.95
Japan,2036,Aggressive Mitigation,615.58
Japan,2037,BAU,1139.2
Japan,2037,Moderate Mitigation,876.07
Japan,2037,Aggressive Mitigation,584.8
Japan,2038,BAU,1139.21
Japan,2038,Moderate Mitigation,858.55
Japan,2038,Aggressive Mitigation,555.56
Japan,2039,BAU,1139.21
Japan,2039,Moderate Mitigation,841.39
Japan,2039,Aggressive Mitigation,527.79
Japan,2040,BAU,1139.21
Japan,2040,Moderate Mitigation,824.56
Japan,2040,Aggressive Mitigation,501.4
Russia,2025,BAU,1713.69
Russia,2025,Moderate Mitigation,1679.42
Russia,2025,Aggressive Mitigation,1628.01
Russia,2026,BAU,1715.86
Russia,2026,Moderate Mitigation,1647.91
Russia,2026,Aggressive Mitigation,1548.56
Russia,2027,BAU,1717.59
Russia,2027,Moderate Mitigation,1616.58
Russia,2027,Aggressive Mitigation,1472.62
Russia,2028,BAU,1718.97
Russia,2028,Moderate Mitigation,1585.53
Russia,2028,Aggressive Mitigation,1400.11
Russia,2029,BAU,1720.08
Russia,2029,Moderate Mitigation,1554.82
Russia,2029,Aggressive Mitigation,1330.96
Russia,2030,BAU,1720.97
Russia,2030,Moderate Mitigation,1524.5
Russia,2030,Aggressive Mitigation,1265.07
Russia,2031,BAU,1721.67
Russia,2031,Moderate Mitigation,1494.63
Russia,2031,Aggressive Mitigation,1202.31
Russia,2032,BAU,1722.24
Russia,2032,Moderate Mitigation,1465.22
Russia,2032,Aggressive Mitigation,1142.57
Russia,2033,BAU,1722.69
Russia,2033,Moderate Mitigation,1436.29
Russia,2033,Aggressive Mitigation,1085.73
Russia,2034,BAU,1723.06
Russia,2034,Moderate Mitigation,1407.86
Russia,2034,Aggressive Mitigation,1031.66
Russia,2035,BAU,1723.35
Russia,2035,Moderate Mitigation,1379.94
Russia,2035,Aggressive Mitigation,980.24
Russia,2036,BAU,1723.58
Russia,2036,Moderate Mitigation,1352.52
Russia,2036,Aggressive Mitigation,931.35
Russia,2037,BAU,1723.77
Russia,2037,Moderate Mitigation,1325.61
Russia,2037,Aggressive Mitigation,884.88
Russia,2038,BAU,1723.91
Russia,2038,Moderate Mitigation,1299.21
Russia,2038,Aggressive Mitigation,840.71
Russia,2039,BAU,1724.03
Russia,2039,Moderate Mitigation,1273.32
Russia,2039,Aggressive Mitigation,798.73
Russia,2040,BAU,1724.13
Russia,2040,Moderate Mitigation,1247.92
Russia,2040,Aggressive Mitigation,758.83
South Africa,2025,BAU,465.59
South Africa,2025,Moderate Mitigation,456.27
South Africa,2025,Aggressive Mitigation,442.31
South Africa,2026,BAU,467.1
South Africa,2026,Moderate Mitigation,448.61
South Africa,2026,Aggressive Mitigation,421.56
South Africa,2027,BAU,468.54
South Africa,2027,Moderate Mitigation,440.99
South Africa,2027,Aggressive Mitigation,401.72
South Africa,2028,BAU,469.91
South Africa,2028,Moderate Mitigation,433.43
South Africa,2028,Aggressive Mitigation,382.74
South Africa,2029,BAU,471.2
South Africa,2029,Moderate Mitigation,425.93
South Africa,2029,Aggressive Mitigation,364.6
South Africa,2030,BAU,472.42
South Africa,2030,Moderate Mitigation,418.49
South Africa,2030,Aggressive Mitigation,347.27
South Africa,2031,BAU,473.58
South Africa,2031,Moderate Mitigation,411.13
South Africa,2031,Aggressive Mitigation,330.72
South Africa,2032,BAU,474.68
South Africa,2032,Moderate Mitigation,403.84
South Africa,2032,Aggressive Mitigation,314.91
South Africa,2033,BAU,475.72
South Africa,2033,Moderate Mitigation,396.63
South Africa,2033,Aggressive Mitigation,299.82
South Africa,2034,BAU,476.71
South Africa,2034,Moderate Mitigation,389.51
South Africa,2034,Aggressive Mitigation,285.42
South Africa,2035,BAU,477.64
South Africa,2035,Moderate Mitigation,382.46
South Africa,2035,Aggressive Mitigation,271.68
South Africa,2036,BAU,478.53
South Africa,2036,Moderate Mitigation,375.51
South Africa,2036,Aggressive Mitigation,258.58
South Africa,2037,BAU,479.37
South Africa,2037,Moderate Mitigation,368.65
South Africa,2037,Aggressive Mitigation,246.08
South Africa,2038,BAU,480.16
South Africa,2038,Moderate Mitigation,361.87
South Africa,2038,Aggressive Mitigation,234.16
South Africa,2039,BAU,480.92
South Africa,2039,Moderate Mitigation,355.19
South Africa,2039,Aggressive Mitigation,222.8
South Africa,2040,BAU,481.63
South Africa,2040,Moderate Mitigation,348.6
South Africa,2040,Aggressive Mitigation,211.98
United Kingdom,2025,BAU,274.48
United Kingdom,2025,Moderate Mitigation,268.99
United Kingdom,2025,Aggressive Mitigation,260.76
United Kingdom,2026,BAU,261.51
United Kingdom,2026,Moderate Mitigation,251.16
United Kingdom,2026,Aggressive Mitigation,236.02
United Kingdom,2027,BAU,248.86
United Kingdom,2027,Moderate Mitigation,234.23
United Kingdom,2027,Aggressive Mitigation,213.37
United Kingdom,2028,BAU,236.52
United Kingdom,2028,Moderate Mitigation,218.16
United Kingdom,2028,Aggressive Mitigation,192.64
United Kingdom,2029,BAU,224.47
United Kingdom,2029,Moderate Mitigation,202.91
United Kingdom,2029,Aggressive Mitigation,173.69
United Kingdom,2030,BAU,212.72
United Kingdom,2030,Moderate Mitigation,188.44
United Kingdom,2030,Aggressive Mitigation,156.37
United Kingdom,2031,BAU,201.25
United Kingdom,2031,Moderate Mitigation,174.71
United Kingdom,2031,Aggressive Mitigation,140.54
United Kingdom,2032,BAU,190.07
United Kingdom,2032,Moderate Mitigation,161.7
United Kingdom,2032,Aggressive Mitigation,126.09
United Kingdom,2033,BAU,179.15
United Kingdom,2033,Moderate Mitigation,149.37
United Kingdom,2033,Aggressive Mitigation,112.91
United Kingdom,2034,BAU,168.5
United Kingdom,2034,Moderate Mitigation,137.68
United Kingdom,2034,Aggressive Mitigation,100.89
United Kingdom,2035,BAU,158.11
United Kingdom,2035,Moderate Mitigation,126.6
United Kingdom,2035,Aggressive Mitigation,89.93
United Kingdom,2036,BAU,147.97
United Kingdom,2036,Moderate Mitigation,116.11
United Kingdom,2036,Aggressive Mitigation,79.96
United Kingdom,2037,BAU,138.07
United Kingdom,2037,Moderate Mitigation,106.18
United Kingdom,2037,Aggressive Mitigation,70.88
United Kingdom,2038,BAU,128.42
United Kingdom,2038,Moderate Mitigation,96.78
United Kingdom,2038,Aggressive Mitigation,62.63
United Kingdom,2039,BAU,119.0
United Kingdom,2039,Moderate Mitigation,87.89
United Kingdom,2039,Aggressive Mitigation,55.13
United Kingdom,2040,BAU,109.81
United Kingdom,2040,Moderate Mitigation,79.48
United Kingdom,2040,Aggressive Mitigation,48.33
United States,2025,BAU,5257.38
United States,2025,Moderate Mitigation,5152.23
United States,2025,Aggressive Mitigation,4994.51
United States,2026,BAU,5253.38
United States,2026,Moderate Mitigation,5045.35
United States,2026,Aggressive Mitigation,4741.18
United States,2027,BAU,5249.91
United States,2027,Moderate Mitigation,4941.17
United States,2027,Aggressive Mitigation,4501.14
United States,2028,BAU,5246.89
United States,2028,Moderate Mitigation,4839.56
United States,2028,Aggressive Mitigation,4273.62
United States,2029,BAU,5244.26
United States,2029,Moderate Mitigation,4740.4
United States,2029,Aggressive Mitigation,4057.91
United States,2030,BAU,5241.98
United States,2030,Moderate Mitigation,4643.57
United States,2030,Aggressive Mitigation,3853.34
United States,2031,BAU,5239.99
United States,2031,Moderate Mitigation,4548.97
United States,2031,Aggressive Mitigation,3659.28
United States,2032,BAU,5238.27
United States,2032,Moderate Mitigation,4456.52
United States,2032,Aggressive Mitigation,3475.17
United States,2033,BAU,5236.77
United States,2033,Moderate Mitigation,4366.14
United States,2033,Aggressive Mitigation,3300.47
United States,2034,BAU,5235.46
United States,2034,Moderate Mitigation,4277.75
United States,2034,Aggressive Mitigation,3134.66
United States,2035,BAU,5234.32
United States,2035,Moderate Mitigation,4191.29
United States,2035,Aggressive Mitigation,2977.28
United States,2036,BAU,5233.34
United States,2036,Moderate Mitigation,4106.69
United States,2036,Aggressive Mitigation,2827.89
United States,2037,BAU,5232.48
United States,2037,Moderate Mitigation,4023.89
United States,2037,Aggressive Mitigation,2686.05
United States,2038,BAU,5231.73
United States,2038,Moderate Mitigation,3942.85
United States,2038,Aggressive Mitigation,2551.39
United States,2039,BAU,5231.08
United States,2039,Moderate Mitigation,3863.52
United States,2039,Aggressive Mitigation,2423.52
United States,2040,BAU,5230.52
United States,2040,Moderate Mitigation,3785.84
United States,2040,Aggressive Mitigation,2302.09
